object_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1.0,0.43031603105468175,0.29437948558261995,0.42373352300540557,0.38311941539822314,0.4193411979327335,0.35659422460427859,0.40594545988358521,0.36590467021837081,0.40175913616929293,0.40901462502403141,0.46328604294939002,0.33481600158073965,0.42764698658609013,0.35284932828781379,0.40802744701427673
1,0.43031603105468175,1.0,0.41512527825817314,0.34447012541434185,0.44419376770059937,0.33687997872694575,0.4442616583193193,0.29690143296725213,0.33517613331198226,0.405502006060802,0.28319242406493184,0.46896141848778472,0.45869513391914474,0.39450806873016964,0.26123686928917045,0.32719019296216334
2,0.29437948558261995,0.41512527825817314,0.99999999999999989,0.29156972554328964,0.42863859306509511,0.39365864686048635,0.33728926004813764,0.25566147156029051,0.29639429631713976,0.31575633358168842,0.32731859571347621,0.4442912784327071,0.34224307890969463,0.35121779643191431,0.34930544402474284,0.37769496441880746
3,0.42373352300540557,0.34447012541434185,0.29156972554328964,1.0,0.34077957375659884,0.43941632427582145,0.2759815267528033,0.35929734418772574,0.46156273898109257,0.38581372620959842,0.25694521786795077,0.40195074313448997,0.35969396279950705,0.40168363137076268,0.37197287504512855,0.33790948570997825
4,0.38311941539822314,0.44419376770059937,0.42863859306509511,0.34077957375659884,1.0,0.41729874067776063,0.40998406696723477,0.45984942078236846,0.35006492386269028,0.57940581606135633,0.35005671378182113,0.38886481423526198,0.35368894237679338,0.30839201906523206,0.27863145931612998,0.31512070971438766
5,0.4193411979327335,0.33687997872694575,0.39365864686048635,0.43941632427582145,0.41729874067776063,0.99999999999999989,0.27290871489688029,0.38759660061382895,0.45479229233910123,0.32963042877556648,0.32029336530548935,0.32439539833842224,0.32818278737395845,0.40128591895699628,0.4220877441638351,0.38072838071120296
6,0.35659422460427859,0.4442616583193193,0.33728926004813764,0.2759815267528033,0.40998406696723477,0.27290871489688029,0.99999999999999978,0.41172243097685546,0.43251174881101218,0.44266418587435541,0.42635088410222088,0.37554904861028193,0.42556780252440918,0.37760177117629334,0.4624112871029511,0.41992327783232308
7,0.40594545988358521,0.29690143296725213,0.25566147156029051,0.35929734418772574,0.45984942078236846,0.38759660061382895,0.41172243097685546,1.0000000000000002,0.35901791024339458,0.44904242949499418,0.42175389812265673,0.46866153373512021,0.34589607978264714,0.38088984535346415,0.37191682137562498,0.38184441266716296
8,0.36590467021837081,0.33517613331198226,0.29639429631713976,0.46156273898109257,0.35006492386269028,0.45479229233910123,0.43251174881101218,0.35901791024339458,1.0,0.29796661089144472,0.34342921874408483,0.37496397253536706,0.47932922720040305,0.36664426707833375,0.35276506806688279,0.29916642428765283
9,0.40175913616929293,0.405502006060802,0.31575633358168842,0.38581372620959842,0.57940581606135633,0.32963042877556648,0.44266418587435541,0.44904242949499418,0.29796661089144472,1.0,0.33254055228037083,0.40264676225861307,0.47280596037974865,0.37889402135070005,0.24263431542461,0.39972981677244701
10,0.40901462502403141,0.28319242406493184,0.32731859571347621,0.25694521786795077,0.35005671378182113,0.32029336530548935,0.42635088410222088,0.42175389812265673,0.34342921874408483,0.33254055228037083,1.0,0.41137939583618788,0.33724932543642594,0.4956012561740748,0.41332724012249489,0.43332495941648852
11,0.46328604294939002,0.46896141848778472,0.4442912784327071,0.40195074313448997,0.38886481423526198,0.32439539833842224,0.37554904861028193,0.46866153373512021,0.37496397253536706,0.40264676225861307,0.41137939583618788,0.99999999999999978,0.46436060820692349,0.49251039161418397,0.36166943689601083,0.30425625526140276
12,0.33481600158073965,0.45869513391914474,0.34224307890969463,0.35969396279950705,0.35368894237679338,0.32818278737395845,0.42556780252440918,0.34589607978264714,0.47932922720040305,0.47280596037974865,0.33724932543642594,0.46436060820692349,1.0000000000000002,0.3667928340495159,0.41831902814267719,0.38123909669535716
13,0.42764698658609013,0.39450806873016964,0.35121779643191431,0.40168363137076268,0.30839201906523206,0.40128591895699628,0.37760177117629334,0.38088984535346415,0.36664426707833375,0.37889402135070005,0.4956012561740748,0.49251039161418397,0.3667928340495159,1.0,0.33662072144793598,0.39184748379646939
14,0.35284932828781379,0.26123686928917045,0.34930544402474284,0.37197287504512855,0.27863145931612998,0.4220877441638351,0.4624112871029511,0.37191682137562498,0.35276506806688279,0.24263431542461,0.41332724012249489,0.36166943689601083,0.41831902814267719,0.33662072144793598,1.0,0.50348947133891198
15,0.40802744701427673,0.32719019296216334,0.37769496441880746,0.33790948570997825,0.31512070971438766,0.38072838071120296,0.41992327783232308,0.38184441266716296,0.29916642428765283,0.39972981677244701,0.43332495941648852,0.30425625526140276,0.38123909669535716,0.39184748379646939,0.50348947133891198,1.0000000000000002
